group,names,scores,logfoldchanges,pvals,pvals_adj
16,PDE3B,61.638256,,0.0,0.0
16,CAMK4,55.783073,,0.0,0.0
16,THEMIS,55.769455,,0.0,0.0
16,BACH2,55.117832,,0.0,0.0
16,TXK,54.263893,,0.0,0.0
16,APBA2,53.452076,,0.0,0.0
16,PRKCA,53.19937,,0.0,0.0
16,TCF7,46.243885,,0.0,0.0
16,NR3C2,44.79201,,0.0,0.0
16,ABLIM1,41.75719,,0.0,0.0
16,RASGRF2,38.87212,,0.0,0.0
16,NRCAM,38.866497,,0.0,0.0
16,IL7R,38.28221,,0.0,0.0
16,PCED1B,37.81128,,0.0,0.0
16,DOCK9,37.752445,,0.0,0.0
16,MLLT3,37.50304,,8.217787707951242e-308,1.141359403882117e-305
16,PTPRK,36.887527,,7.323278200736662e-298,9.635892369390344e-296
16,ZEB1,36.630672,,9.295006342265635e-294,1.1618757927832043e-291
17,NAMPT,14.603733,,2.6587851611227356e-48,2.7695678761695165e-46
17,ATP2B1,8.056178,,7.871675566057045e-16,1.0580209094162695e-14
17,SLC8A1,7.3964834,,1.3983802107079203e-13,1.6260235008231632e-12
17,ANK3,5.043345,,4.5746383316628607e-07,3.5298135275176397e-06
17,INPP4B,3.2899733,,0.0010019687320270549,0.004901999667451345
17,AL136456.1,2.514589,,0.011917117986407842,0.04836492689288897
17,PID1,2.4265974,,0.015241159246787522,0.060480790661855244
17,TSHZ2,2.190893,,0.028459535491307246,0.10747558720282194
17,AL627171.2,2.0761566,,0.03787945896523726,0.13926271678396052
17,LINC02694,1.6328069,,0.1025096202485874,0.34078996093280384
17,SOX5,1.0051912,,0.31480477521902417,0.8648482835687478
17,JCHAIN,0.9566802,,0.3387287167625488,0.9125234826577284
17,LINC02506,0.34746614,,0.7282411597271798,0.9997003737040473
17,IGLV1-51,0.34640524,,0.7290381816259759,0.9997003737040473
17,LINC02109,0.34569234,,0.7295739398734409,0.9997003737040473
17,AC093916.1,0.24370274,,0.8074610557368874,0.9997003737040473
17,AC018742.1,0.21384376,,0.8306688953656447,0.9997003737040473
17,IGHV3-30,0.21043096,,0.8333313220753937,0.9997003737040473
17,HDC,0.20198292,,0.8399300841881072,0.9997003737040473
17,INHBA,0.19857435,,0.8425957148325351,0.9997003737040473
18,BANK1,72.97534,,0.0,0.0
18,AFF3,71.82097,,0.0,0.0
18,FCRL1,69.84106,,0.0,0.0
18,BACH2,69.21856,,0.0,0.0
18,IGHM,67.715034,,0.0,0.0
