gene,score,logfoldchange,pval,pval_adj,pct_nz_group,subtype
RNF213-AS1,3.7574472,0.40495723,0.00017165554863197941,0.017986264893694273,0.21060877350044763,Naive/resting T cell
RPL18A,3.7454164,0.18904772,0.000180094839050445,0.01868183797083283,0.4986571172784244,Naive/resting T cell
CEBPD,3.7418354,0.13196707,0.00018268114617892985,0.018878178856406417,0.677484333034915,Naive/resting T cell
SLC25A6,3.7311883,0.24684067,0.00019057872317374276,0.01957362991804249,0.36280214861235455,Naive/resting T cell
MIDN,3.7232847,0.1858598,0.0001966475834594734,0.020106074401595994,0.4834377797672337,Naive/resting T cell
PNPT1,3.7036972,0.5620202,0.000212479928807872,0.021538682034205135,0.16606982990152194,Naive/resting T cell
PFN1,3.6798546,0.19865808,0.00023336687595295583,0.0234270231601806,0.4353178155774396,Naive/resting T cell
GBP4,3.646059,0.5748642,0.0002662928453813749,0.026308042375455195,0.15174574753804834,Naive/resting T cell
HSP90AA1,3.6394114,0.15090568,0.0002732617967081881,0.026911098460629158,0.6040734109221128,Naive/resting T cell
RPS3A,3.6343312,0.16468003,0.000278702643557751,0.02736033522876092,0.5317815577439571,Naive/resting T cell
TPT1,3.624011,0.1310777,0.00029006918996975553,0.028297658908648254,0.7249328558639212,Naive/resting T cell
RPS5,3.5817175,0.29431263,0.0003413426656594487,0.032785752331240876,0.2808863025962399,Naive/resting T cell
MGAT1,3.5785792,0.17690688,0.0003454670761598283,0.03300500337125322,0.4574753804834378,Naive/resting T cell
PLSCR1,3.5608022,0.15108259,0.00036972360122612176,0.03465601948842442,0.6163831692032229,Naive/resting T cell
TNFSF13B,3.5597014,0.14718102,0.0003712765045239391,0.03468101149849211,0.6683079677708147,Naive/resting T cell
OAS2,3.5590355,0.93495166,0.00037221908227816087,0.03468101149849211,0.09601611459265891,Naive/resting T cell
MARCKS,3.5470207,0.21366465,0.0003896140054716292,0.03589224864856937,0.45165622202327665,Naive/resting T cell
CFD,3.5457127,0.32355633,0.00039155282145667713,0.03594431800510853,0.2473142345568487,Naive/resting T cell
FYB1,3.544014,0.094974004,0.00039408437739568496,0.0360703112486874,0.9290510295434199,Naive/resting T cell
AC006160.1,3.5166345,0.6722236,0.0004370552233271591,0.03930970679173755,0.12869292748433303,Naive/resting T cell
RPL6,3.488298,0.16594295,0.0004861061170303119,0.04309863920792965,0.5512533572068039,Naive/resting T cell
IFI6,3.4774792,1.0634372,0.0005061521136034851,0.04474844822539902,0.08572068039391227,Naive/resting T cell
AC068282.1,3.4739702,0.22837573,0.0005128180992819554,0.045209346316301566,0.37488809310653537,Naive/resting T cell
RPL9,3.4583702,0.16658343,0.000543453896121548,0.04724102024386194,0.5100716204118174,Naive/resting T cell
COX4I1,3.4386272,0.19812708,0.0005846717430505382,0.05026238851859876,0.4142793196060877,Naive/resting T cell
DDX60L,3.4334154,0.1815856,0.0005960283797413369,0.05081754295219289,0.5022381378692927,Naive/resting T cell
S100A11,3.4188602,0.193845,0.0006288401943825959,0.05317800774235431,0.39480752014324083,Naive/resting T cell
ARPC1B,3.3995876,0.12970223,0.0006748753082073984,0.05659907927004829,0.5995971351835273,Naive/resting T cell
HNRNPA1,3.393323,0.1824251,0.0006905015508637646,0.05760967362702508,0.44807520143240825,Naive/resting T cell
CD52,3.3793461,0.2836272,0.0007265845335629321,0.060296828491942525,0.2795434198746643,Naive/resting T cell
LIMD2,3.3723598,0.19079079,0.000745270339976274,0.06168301324484481,0.40778871978513875,Naive/resting T cell
TAGLN2,3.3685954,0.2376021,0.0007555225596270937,0.06236568184507999,0.33370635631154877,Naive/resting T cell
MT-ATP8,3.3577647,0.08408908,0.0007857544455030385,0.06468962524882159,0.9460608773500447,Naive/resting T cell
PSME1,3.3462324,0.43059167,0.0008191771172403076,0.06718864123185975,0.182408236347359,Naive/resting T cell
CASP1,3.3393018,0.2609263,0.0008398927002690272,0.06860225940255152,0.2822291853178156,Naive/resting T cell
COTL1,3.3297312,0.1335994,0.0008692982602349422,0.07052912227711614,0.7943151298119964,Naive/resting T cell
MNDA,3.3294163,0.11141978,0.00087028222861223,0.07052912227711614,0.7428379588182632,Naive/resting T cell
PABPC1,3.3267803,0.07520874,0.0008785557387565166,0.07088343399968507,0.9431512981199642,Naive/resting T cell
IGSF6,3.325317,0.2545171,0.0008831807752775864,0.07101960136082296,0.3166965085049239,Naive/resting T cell
SET,3.3105943,0.19414906,0.000930980531774476,0.07426764380253274,0.38025962399283797,Naive/resting T cell
RPS15A,3.294556,0.17841236,0.0009857734494721267,0.0780592105536198,0.477170993733214,Naive/resting T cell
RPS19,3.2933357,0.1401229,0.0009900620815034614,0.07815910852963262,0.5803491495076096,Naive/resting T cell
ATP5F1E,3.2927694,0.18183145,0.0009920580934834474,0.07815910852963262,0.4362130707251567,Naive/resting T cell
PSMB9,3.2919838,0.39335823,0.000994833378814838,0.07817983522403475,0.1886750223813787,Naive/resting T cell
NT5C2,3.2898703,0.1088888,0.0010023356046473448,0.07857099248520244,0.8410922112802148,Naive/resting T cell
RPL17,3.2772095,0.14358124,0.0010483858280386726,0.08194656000371645,0.5548343777976723,Naive/resting T cell
RPL29,3.2759693,0.21095012,0.0010530002940513862,0.08194656000371645,0.37578334825425247,Naive/resting T cell
TCIRG1,3.2364113,0.25040215,0.0012104282643678307,0.09232482251746787,0.2867054610564011,Naive/resting T cell
INSL6,3.22708,0.29706982,0.001250604339303043,0.09492391960758706,0.2526857654431513,Naive/resting T cell
NOP53,3.2097058,0.23328151,0.0013287091453253995,0.10021138451131258,0.3140107430617726,Naive/resting T cell
RGS2,3.2017224,0.14031366,0.0013660858135274222,0.10268741670766517,0.5884064458370636,Naive/resting T cell
TNFRSF1B,3.1969411,0.09312143,0.001388932623290037,0.103902844319197,0.7846911369740376,Naive/resting T cell
EMP3,3.192834,0.15989764,0.0014088399721591358,0.1051393283779192,0.4780662488809311,Naive/resting T cell
PLEKHO1,3.184711,0.14133595,0.0014489868817666057,0.10761926434505195,0.5239480752014324,Naive/resting T cell
CMPK2,3.1683095,1.0409418,0.0015332818974491296,0.11307045651331023,0.07676812891674127,Naive/resting T cell
ZC3HAV1,3.1601865,0.15943782,0.0015766813469869142,0.11572246112790747,0.4991047448522829,Naive/resting T cell
APOBEC3A,3.137066,0.40057328,0.0017064774249541351,0.12378922485914379,0.1895702775290958,Naive/resting T cell
GBP1,3.1167448,0.5574088,0.001828598779420671,0.1302196659395224,0.13115487914055507,Naive/resting T cell
DAZAP2,3.1108708,0.12403015,0.0018653654250293803,0.1322327381023105,0.6318263205013429,Naive/resting T cell
GNAS,3.0870404,0.13754727,0.0020216016177352957,0.14169423951333873,0.5221575649059982,Naive/resting T cell
CCDC200,3.0345504,0.2902722,0.002408945500567847,0.16476128346740967,0.2428379588182632,Naive/resting T cell
C6orf62,3.0289357,0.14676958,0.0024541693637592176,0.16711980437677648,0.4662041181736795,Naive/resting T cell
LAMP1,3.0248363,0.20474315,0.0024876771611112933,0.1690316883270381,0.34086839749328557,Naive/resting T cell
PNISR,3.00101,0.104501165,0.0026908585426246292,0.1793137427119453,0.7050134288272157,Naive/resting T cell
